,perplexity_train,perplexity_val
0,328.949,212.37
1,212.329,175.571
2,188.179,162.24
3,176.27,154.248
4,155.867,138.848
5,142.766,131.298
6,135.768,128.081
7,132.109,126.47
8,130.319,125.535
9,129.358,125.044
10,128.959,124.855
11,128.562,124.744
12,128.485,124.725
