,perplexity_train,perplexity_val
0,300.208,197.878
1,153.18,160.454
2,123.45,148.137
3,109.085,144.26
4,88.47,129.662
5,76.204,125.549
6,69.581,124.047
7,66.13,123.407
8,64.306,122.896
9,63.327,122.513
10,62.794,122.295
11,62.508,122.174
12,62.358,122.107
