,perplexity_train,perplexity_val
0,325.946,190.828
1,143.974,144.657
2,106.107,130.794
3,87.105,125.247
4,67.263,118.012
5,56.436,117.252
6,50.952,117.514
7,48.152,117.736
8,46.675,117.752
9,45.866,117.551
10,45.42,117.253
11,45.178,116.976
12,45.049,116.794
