,perplexity_train,perplexity_val
0,398.323,229.488
1,220.067,180.134
2,185.919,159.981
3,168.564,149.873
4,148.001,134.201
5,136.501,127.578
6,130.41,124.608
7,127.671,123.231
8,126.058,122.491
9,125.363,122.143
10,124.82,122.001
11,124.604,121.916
12,124.56,121.908
