,perplexity_train,perplexity_val
0,345.804,215.545
1,212.97,175.764
2,186.101,160.494
3,173.538,151.51
4,152.754,136.069
5,139.924,128.881
6,133.107,125.603
7,129.508,124.054
8,127.963,123.27
9,126.941,122.84
10,126.559,122.675
11,126.285,122.605
12,126.211,122.583
