,perplexity_train,perplexity_val
0,268.76,178.005
1,133.372,142.424
2,102.153,132.408
3,86.032,127.702
4,65.725,118.314
5,53.503,117.942
6,47.222,118.734
7,44.059,119.526
8,42.394,119.788
9,41.491,119.596
10,40.996,119.238
11,40.726,118.931
12,40.581,118.747
